industry,year,benefit,perk_beta,perk_se,perk_pvalue,n_obs
Accommodation and Food Services,2023,CULTURE,-48.49288921248213,107842825341.04822,0.9999999996412211,892
Administrative and Support and Waste Management and Remediation Services,2022,REMOTE_KW,0.7594675600702708,1.189411446521826,0.5231327425768058,516
Administrative and Support and Waste Management and Remediation Services,2023,EDU_ASSISTANCE,-218.9141764612031,1.170829101827152e+48,1.0,431
Administrative and Support and Waste Management and Remediation Services,2024,PAID LEAVE,1.2431555869182978,1.3217338682232627,0.34693598174303475,366
Educational Services,2019,EDU_ASSISTANCE,2.4143832153275193,1.2709962415069915,0.05748576088406555,544
Educational Services,2021,EDU_ASSISTANCE,1.5326868237920175,0.7340916250791393,0.03680969298532537,685
Educational Services,2022,EDU_ASSISTANCE,1.0411624983852192,0.8309134712537694,0.2101934788393014,826
Educational Services,2022,PAID LEAVE,1.3433446057373033,0.6270741208997875,0.032174002250249197,826
Educational Services,2022,CULTURE,-0.4219657153511406,0.8062009083858754,0.6006957861959124,826
Educational Services,2022,REMOTE_KW,0.06588591827958148,1.0988625706334274,0.9521888563886282,826
Educational Services,2023,EDU_ASSISTANCE,0.043293394374731994,1.0802331389083275,0.9680310809217877,834
Educational Services,2023,PAID LEAVE,-0.813242444055599,1.069869493428668,0.4471754595506223,834
Educational Services,2023,CULTURE,0.8459536633587079,0.6806247921475819,0.21390191918874746,834
Educational Services,2023,REMOTE_KW,0.4327387900426697,1.0823378891243458,0.6892901501189276,834
Educational Services,2025,EDU_ASSISTANCE,0.7506732845100582,0.7923928877894393,0.3434605360722489,704
Educational Services,2025,CULTURE,1.2413525101749687,0.5844637559066017,0.033677084151398716,704
Finance and Insurance,2018,EDU_ASSISTANCE,1.185486878661504,0.5859107602407024,0.04303982869181549,730
Finance and Insurance,2020,EDU_ASSISTANCE,2.5944711227626303,0.938962716024071,0.0057250879905405725,532
Finance and Insurance,2020,PAID LEAVE,0.8555268750289893,1.1345156472651392,0.4507951972119114,532
Finance and Insurance,2021,PAID LEAVE,0.3258945443788701,0.5710587276290708,0.5682133138799867,719
Finance and Insurance,2021,CULTURE,0.5106831443081681,0.5647497191679931,0.3658551454656018,719
Finance and Insurance,2021,REMOTE_KW,0.32106500745928923,0.5727845870252533,0.575115526988289,719
Finance and Insurance,2022,PAID LEAVE,-0.31605185741823505,0.5706576240817567,0.5796897431830987,810
Finance and Insurance,2022,HEALTH_WELLBEING,-0.22214756360022833,0.6501205502073213,0.7325750842276411,810
Finance and Insurance,2022,CULTURE,-0.5892141266564923,0.528796407029272,0.2651697363390362,810
Finance and Insurance,2022,REMOTE_KW,0.39963047769114574,0.4811554699167502,0.40621990143367837,810
Finance and Insurance,2023,PAID LEAVE,-1.0209841377757234,0.7939901206521084,0.19848137436142888,573
Finance and Insurance,2023,HEALTH_WELLBEING,-0.7439683019198796,1.0630959009439571,0.4840441125727616,573
Finance and Insurance,2023,REMOTE_KW,0.20012817706085942,0.6325748612296413,0.7517211232235814,573
Finance and Insurance,2024,EDU_ASSISTANCE,-45.31932260302036,4434922627.751161,0.9999999918466249,592
Finance and Insurance,2024,PAID LEAVE,0.856729007679144,0.5831747853955378,0.14181174562329452,592
Finance and Insurance,2024,CULTURE,0.03388947326388422,0.6274873013326193,0.9569286138605753,592
Finance and Insurance,2024,REMOTE_KW,-1.0284216760180738,0.6929844016518373,0.1377963551253566,592
Finance and Insurance,2025,EDU_ASSISTANCE,-0.5133246312662936,0.5754823541255811,0.3723981748551135,607
Finance and Insurance,2025,PAID LEAVE,-0.8341796088902432,0.4576127073898238,0.06831939710469966,607
Finance and Insurance,2025,PARENTAL_LEAVE,-0.12641136831093125,0.5362621375291475,0.8136446570078735,607
Finance and Insurance,2025,REMOTE_KW,0.8434908488145543,0.41447100419095806,0.041840591567886276,607
Health Care and Social Assistance,2021,PAID LEAVE,-0.024057079974376762,1.1772084586596738,0.983695804580149,2126
Health Care and Social Assistance,2022,EDU_ASSISTANCE,-0.4261305683572298,1.089315802875418,0.695656039864067,2235
Health Care and Social Assistance,2022,PAID LEAVE,2.543110443025813,1.0870313282045192,0.019309540630205277,2235
Health Care and Social Assistance,2022,PARENTAL_LEAVE,2.779294178149424,0.8033570310380846,0.0005409778764468361,2235
Health Care and Social Assistance,2022,CULTURE,0.014839610956721002,1.09080287625577,0.9891456728701663,2235
Health Care and Social Assistance,2023,EDU_ASSISTANCE,-229.98622450042157,8.382007372698744e+49,1.0,2165
Health Care and Social Assistance,2023,PAID LEAVE,0.21791200081906725,0.927349783915224,0.8142214536938811,2165
Health Care and Social Assistance,2023,PARENTAL_LEAVE,-214.93539012942617,7.030216155776653e+46,1.0,2165
Health Care and Social Assistance,2023,CULTURE,1.0849598899080033,0.9543780056277709,0.255611838425702,2165
Health Care and Social Assistance,2024,PAID LEAVE,-0.24160336097853,0.8707305206641027,0.7814176834761426,2172
Health Care and Social Assistance,2024,PARENTAL_LEAVE,1.0882142763427833,1.1105195103630199,0.32712827790165944,2172
Health Care and Social Assistance,2024,CULTURE,0.20854366170064056,1.1109037064362988,0.8510927513073174,2172
Health Care and Social Assistance,2025,EDU_ASSISTANCE,-0.09770003909536824,0.5710559408575644,0.8641556449635259,2398
Health Care and Social Assistance,2025,REMOTE_KW,2.10050322566667,0.5544869180126253,0.00015174721159946233,2398
Information,2024,PARENTAL_LEAVE,0.6168836449295277,0.4953181428201065,0.2129740501950339,302
Manufacturing,2018,CULTURE,0.34477954351665646,0.6714083422568283,0.6075897786589886,828
Manufacturing,2022,PAID LEAVE,0.024985530659866518,0.4011433543511329,0.9503352445788323,1232
Manufacturing,2022,HEALTH_WELLBEING,0.3902708596894759,0.7551365260635462,0.6052807075902518,1232
Manufacturing,2022,PARENTAL_LEAVE,0.9405190206108622,0.4783331503206502,0.04927059292497925,1232
Manufacturing,2022,CULTURE,0.8063933276908147,0.3778178283062876,0.032814607592371405,1232
Manufacturing,2022,REMOTE_KW,0.8558026855561136,0.43841187791866565,0.05093205763021418,1232
Manufacturing,2023,PAID LEAVE,-0.23917486033094404,0.45264168796158016,0.5972232822006978,1048
