panel,model_idx,model_label,benefit,benefit_label,model_status,ai_role_coef,ai_role_se,ai_role_pvalue,nobs,pseudo_r2
Main,0,M1 Baseline (Year+NAICS3),EDU_ASSISTANCE,Tuition Assistance,ok,-0.03275265505825216,0.009953604386722228,0.0009999808066633279,9999673,0.05579944234845846
Main,0,M1 Baseline (Year+NAICS3),PAID LEAVE,Paid Leave,ok,-0.19676250011912477,0.006618694992025942,3.3095235780929914e-194,9999673,0.0629756849591282
Main,0,M1 Baseline (Year+NAICS3),HEALTH_WELLBEING,Health and Wellbeing,ok,0.15383901977961822,0.011488818222964752,6.887788764518755e-41,9999673,0.05095545853484751
Main,0,M1 Baseline (Year+NAICS3),PARENTAL_LEAVE,Parental Leave,ok,0.41106028754158824,0.009768468745944031,0.0,8977505,0.09692335451826506
Main,0,M1 Baseline (Year+NAICS3),CULTURE,Workplace Culture,ok,0.6427322544708096,0.0068606398101518015,0.0,9999673,0.07392004952896147
Main,0,M1 Baseline (Year+NAICS3),REMOTE_KW,Remote Work,ok,0.7181366468153516,0.0076053440300515905,0.0,9999673,0.10039481817113605
Main,1,M2 + Individual+State Controls,EDU_ASSISTANCE,Tuition Assistance,ok,-0.034872938168126394,0.010052087949212358,0.0005219653393997341,9999673,0.06756438592670544
Main,1,M2 + Individual+State Controls,PAID LEAVE,Paid Leave,ok,-0.13483224674986521,0.0066832008516271345,1.6301865447253724e-90,9999673,0.06995567777830569
Main,1,M2 + Individual+State Controls,HEALTH_WELLBEING,Health and Wellbeing,ok,0.06412882744013193,0.01159944317387112,3.227732660191579e-08,9999673,0.055456627829112315
Main,1,M2 + Individual+State Controls,PARENTAL_LEAVE,Parental Leave,ok,0.27643927028379733,0.009892195931715125,7.542626516803615e-172,8977505,0.104839517199534
Main,1,M2 + Individual+State Controls,CULTURE,Workplace Culture,ok,0.4182916384894429,0.0069781230827769825,0.0,9999673,0.08914759916168635
Main,1,M2 + Individual+State Controls,REMOTE_KW,Remote Work,ok,0.4474179941562143,0.00772886027836944,0.0,9999673,0.12670076776615402
Main,2,M3 + Salary,EDU_ASSISTANCE,Tuition Assistance,ok,-0.10597843003924243,0.015049250188102575,1.8935432742275045e-12,3559853,0.07887603372548124
Main,2,M3 + Salary,PAID LEAVE,Paid Leave,ok,-0.1259093316795124,0.010041786265684851,4.593850320005329e-36,3559853,0.060707440961814796
Main,2,M3 + Salary,HEALTH_WELLBEING,Health and Wellbeing,ok,-0.02142540806448424,0.01683382484129592,0.20310344781525858,3559853,0.08070309584884339
Main,2,M3 + Salary,PARENTAL_LEAVE,Parental Leave,ok,0.12136123111396688,0.013823357447989496,1.6430182876816972e-18,3392004,0.1387604027819841
Main,2,M3 + Salary,CULTURE,Workplace Culture,ok,0.29611844938405285,0.011557890859274203,9.027015895333778e-145,3559853,0.10919312005092219
Main,2,M3 + Salary,REMOTE_KW,Remote Work,ok,0.23512232988590706,0.011878018843714816,3.3043338080554023e-87,3559853,0.15539199319226504
Main,3,M4 + S&P 500 (Preferred),EDU_ASSISTANCE,Tuition Assistance,ok,-0.15557845752872007,0.015131665648462746,8.525728658023633e-25,3559853,0.08290457466309642
Main,3,M4 + S&P 500 (Preferred),PAID LEAVE,Paid Leave,ok,-0.1388084611331747,0.010055902208418852,2.4216612735811108e-43,3559853,0.06096756858001162
Main,3,M4 + S&P 500 (Preferred),HEALTH_WELLBEING,Health and Wellbeing,ok,-0.07578813646646651,0.016958414334479897,7.856484393907258e-06,3559853,0.0846390039262005
Main,3,M4 + S&P 500 (Preferred),PARENTAL_LEAVE,Parental Leave,ok,0.06481124281230749,0.013982348325352622,3.5656025503847532e-06,3392004,0.14520847185164443
Main,3,M4 + S&P 500 (Preferred),CULTURE,Workplace Culture,ok,0.23969695785812725,0.0117240285527907,6.665213267391028e-93,3559853,0.11555207901723274
Main,3,M4 + S&P 500 (Preferred),REMOTE_KW,Remote Work,ok,0.22247953079505045,0.011906493845819882,6.489168288593751e-78,3559853,0.15563699595511793
