QUARTER,SMEs,Large firms,S&P 500 firms
2018Q1,1.0056944953211895,0.6355053665969121,2.0608331496583645
2018Q2,0.8543053429679991,0.6090830401740691,2.034752619710837
2018Q3,0.8546874263539098,0.7330224841238058,1.8171044835078018
2018Q4,0.9434935038152197,0.8181955200206701,2.259420152988951
2019Q1,0.9685398738807791,0.8384842784197797,2.116018089442242
2019Q2,0.9616190045400479,0.8158615099937301,2.135284013504709
2019Q3,0.9831126615396812,0.772023779205565,2.0647256698758847
2019Q4,1.0858273207246438,0.8440612519428743,1.944767520489032
2020Q1,0.9473118131299899,0.7910804699565362,1.908444868543304
2020Q2,1.0206932824904258,0.8363662441508148,2.2003307686776443
2020Q3,0.776103116688263,0.7673523753144886,1.8543843334609704
2020Q4,0.8769152842851716,0.8542679377367193,2.1110651784483947
2021Q1,0.857901944031554,1.0256932423717884,2.8410180542998824
2021Q2,0.852387772235666,0.945028172852828,2.3474874052749675
2021Q3,0.8726507778728126,0.9708568335399604,2.472125944794755
2021Q4,0.9736773023411212,1.1034935885352992,2.2197536638603057
2022Q1,1.044204301746934,1.2793988986670783,2.933217880723022
2022Q2,0.9807366064706532,1.2362556594343506,3.28585242487355
2022Q3,0.8776998811561653,1.1430250723090962,2.9766987922410637
2022Q4,0.9169690942670059,1.1315848516053317,2.593234632683658
2023Q1,0.9615278467737484,1.0295588307621686,2.1431022196415848
2023Q2,0.9703657357374438,1.0219305985593505,2.3379464740002036
2023Q3,0.8259436314758725,1.0139560092136761,2.683985092062079
2023Q4,0.9095029902469696,1.1230035677369878,2.7710519235942965
2024Q1,0.9630048703694593,1.1413547788431797,3.3130321099454734
2024Q2,1.027154364456153,1.2692621938474984,3.9937616586648725
2024Q3,1.16852989807754,1.497509263576354,4.034875405687881
2024Q4,1.4158408783061238,1.647203117684684,4.397037037037037
2025Q1,1.5488855726183026,1.7358815384039619,4.604551880908159
2025Q2,1.7131280580994466,2.1194259813318523,4.658417385879172
2025Q3,1.9629423711889984,2.2756577012690298,5.502098356094507
2025Q4,2.599250123572884,3.0897469292884767,7.317622546949348
