Benefit,Occupation,Year,AI Coefficient,Error,P-Value
EDU_ASSISTANCE,Architecture and Engineering Occupations,2019,-0.3787728891240425,0.2021325245031568,0.061
EDU_ASSISTANCE,Architecture and Engineering Occupations,2021,-0.1917248685578161,0.1400170990180159,0.171
EDU_ASSISTANCE,Architecture and Engineering Occupations,2022,-0.3099764360370616,0.1081095690671019,0.004
EDU_ASSISTANCE,Architecture and Engineering Occupations,2020,-0.1524197287202147,0.1966153932847775,0.438
EDU_ASSISTANCE,Architecture and Engineering Occupations,2018,0.043940758719393,0.2197845083881673,0.842
EDU_ASSISTANCE,Architecture and Engineering Occupations,2023,-0.0006557524939162,0.0953645893439435,0.995
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2019,-0.459317913521304,0.4536456495067715,0.311
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2021,-0.7580488640450109,0.3589072510154944,0.035
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2022,0.0853321487398531,0.2008294649677184,0.671
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.1796207765977534,0.3878318560554841,0.643
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2018,-1.077425684929313,0.7167180136604896,0.133
EDU_ASSISTANCE,"Arts, Design, Entertainment, Sports, and Media Occupations",2023,-0.0918583372216286,0.1889328815558046,0.627
EDU_ASSISTANCE,Business and Financial Operations Occupations,2019,0.0499268476570529,0.1122452403906133,0.656
EDU_ASSISTANCE,Business and Financial Operations Occupations,2021,0.2508872662023524,0.0670065495705616,0.0
EDU_ASSISTANCE,Business and Financial Operations Occupations,2022,-0.0053301070037775,0.058440998339329,0.927
EDU_ASSISTANCE,Business and Financial Operations Occupations,2020,-0.1200162061193154,0.1155576536872546,0.299
EDU_ASSISTANCE,Business and Financial Operations Occupations,2018,0.005266858161535,0.0993340722400254,0.958
EDU_ASSISTANCE,Business and Financial Operations Occupations,2023,0.110188773616128,0.0633310017141166,0.082
EDU_ASSISTANCE,Community and Social Service Occupations,2019,-17.08897010175134,2526.274497285956,0.995
EDU_ASSISTANCE,Community and Social Service Occupations,2021,-1.2266267615200122,0.7203002974011671,0.089
EDU_ASSISTANCE,Community and Social Service Occupations,2022,-0.483795407351996,0.3683611701138394,0.189
EDU_ASSISTANCE,Community and Social Service Occupations,2020,-18.268931266527755,4897.208776643639,0.997
EDU_ASSISTANCE,Community and Social Service Occupations,2018,-0.0328377283531408,0.7255278815430477,0.964
EDU_ASSISTANCE,Community and Social Service Occupations,2023,-0.6301695130370579,0.4254513276157129,0.139
EDU_ASSISTANCE,Computer and Mathematical Occupations,2019,-0.0402192663471406,0.0561182461171546,0.474
EDU_ASSISTANCE,Computer and Mathematical Occupations,2021,0.0751808106676018,0.0383817818564322,0.05
EDU_ASSISTANCE,Computer and Mathematical Occupations,2022,0.0558717033337235,0.0295362338159056,0.059
EDU_ASSISTANCE,Computer and Mathematical Occupations,2020,-0.0232632657715008,0.0555677312398878,0.675
EDU_ASSISTANCE,Computer and Mathematical Occupations,2018,-0.1141983722356062,0.0610856204435685,0.062
EDU_ASSISTANCE,Computer and Mathematical Occupations,2023,0.1929465010301929,0.0312329464707721,0.0
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2019,-0.4510227022585173,0.4190337495004604,0.282
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2021,-1.6495149858178295,0.5825472794170672,0.005
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2022,-0.8975052217447389,0.3399041026403324,0.008
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2020,-1.360996091377722,0.7137834333494314,0.057
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2018,-1.8860708459124056,1.0091477064717955,0.062
EDU_ASSISTANCE,Educational Instruction and Library Occupations,2023,-0.324179031794637,0.2259543903370378,0.151
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2019,-1.482551803585528,0.5836747510210406,0.011
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2021,-1.4885494543801128,0.3597631519196564,0.0
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2022,-0.869525122442218,0.2599174631199783,0.001
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2020,-0.5791392534471351,0.3630964593286893,0.111
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2018,-1.5198110873773971,0.5828966211529963,0.009
EDU_ASSISTANCE,Healthcare Practitioners and Technical Occupations,2023,-0.8572810094140587,0.2426833126121953,0.0
EDU_ASSISTANCE,Legal Occupations,2019,-0.8870898390454871,1.015094415913528,0.382
EDU_ASSISTANCE,Legal Occupations,2021,-0.0328471622077762,0.5161367471623528,0.949
EDU_ASSISTANCE,Legal Occupations,2022,0.0714537708046915,0.4658911032374164,0.878
EDU_ASSISTANCE,Legal Occupations,2020,-19.117916164438004,12405.89402424064,0.999
EDU_ASSISTANCE,Legal Occupations,2018,0.4803731915553655,0.7337099905469395,0.513
EDU_ASSISTANCE,Legal Occupations,2023,0.526820336163883,0.344718830936174,0.126
EDU_ASSISTANCE,"Life, Physical, and Social Science Occupations",2019,-0.4028146196998354,0.3623159581227601,0.266
EDU_ASSISTANCE,"Life, Physical, and Social Science Occupations",2021,0.2268279150207864,0.1757048770765619,0.197
EDU_ASSISTANCE,"Life, Physical, and Social Science Occupations",2022,0.0678821041477111,0.1415763460640093,0.632
EDU_ASSISTANCE,"Life, Physical, and Social Science Occupations",2020,-0.3063538526639171,0.3252751814610595,0.346
