period,benefit,benefit_label,specification,status,ai_role_coef,ai_role_se,ai_role_pvalue,lower_ci,upper_ci,nobs,pseudo_r2,converged,detail
2018,EDU_ASSISTANCE,Tuition Assistance,yearly_model1_ai_role_naics3_fe,ok,-0.08774702521189723,0.05573719125812099,0.11541825482553536,-0.19699192007781435,0.02149786965401991,1022168.0,0.08189168137513847,True,
2018,PAID LEAVE,Paid Leave,yearly_model1_ai_role_naics3_fe,ok,-0.1492630502532625,0.037007257805670005,5.498838011118643e-05,-0.22179727555237572,-0.07672882495414929,1022168.0,0.047424047110840806,True,
2018,HEALTH_WELLBEING,Health and Wellbeing,yearly_model1_ai_role_naics3_fe,ok,-0.14062591363862545,0.08104183673737811,0.08270075797623982,-0.29946791364388653,0.01821608636663563,1022168.0,0.05332185150997315,True,
2018,PARENTAL_LEAVE,Parental Leave,yearly_model1_ai_role_naics3_fe,error,,,,,,,,False,Error
2018,CULTURE,Workplace Culture,yearly_model1_ai_role_naics3_fe,ok,0.5412739811779234,0.03575322963760543,8.93431624041847e-52,0.4711976510882167,0.61135031126763,1022168.0,0.0787108057895407,True,
2018,REMOTE_KW,Remote Work,yearly_model1_ai_role_naics3_fe,ok,0.18789173579343546,0.051883189519997694,0.0002929704211357911,0.08620068433423998,0.2895827872526309,1022168.0,0.11675390613536529,True,
2019,EDU_ASSISTANCE,Tuition Assistance,yearly_model1_ai_role_naics3_fe,ok,-0.4251241522260955,0.05653429341985176,5.487811723715983e-14,-0.5359313673290049,-0.3143169371231861,1083362.0,0.044233179691703484,True,
2019,PAID LEAVE,Paid Leave,yearly_model1_ai_role_naics3_fe,ok,-0.2692905999353627,0.030751731363472614,2.006493729896556e-18,-0.32956399340776904,-0.20901720646295638,1083362.0,0.032438336037837745,True,
2019,HEALTH_WELLBEING,Health and Wellbeing,yearly_model1_ai_role_naics3_fe,ok,0.022816286198054023,0.05798528045026729,0.6939619613482559,-0.09083486348446985,0.13646743588057791,1083362.0,0.053394629709898944,True,
2019,PARENTAL_LEAVE,Parental Leave,yearly_model1_ai_role_naics3_fe,ok,0.387746909395209,0.06836117651839435,1.4111205851062694e-08,0.2537590034191561,0.521734815371262,1083362.0,0.04557413055036408,True,
2019,CULTURE,Workplace Culture,yearly_model1_ai_role_naics3_fe,ok,0.5794652852586419,0.030188527270568723,4.083917593175356e-82,0.5202957718083272,0.6386347987089567,1083362.0,0.07337766293732761,True,
2019,REMOTE_KW,Remote Work,yearly_model1_ai_role_naics3_fe,ok,0.04212508689377936,0.04653324804213731,0.3653231231622186,-0.04908007926880975,0.13333025305636848,1083362.0,0.09869784008547722,True,
2020,EDU_ASSISTANCE,Tuition Assistance,yearly_model1_ai_role_naics3_fe,ok,-0.242898346636319,0.05160437671779159,2.514714424309093e-06,-0.34404292500319056,-0.1417537682694475,1062166.0,0.04199569026185135,True,
2020,PAID LEAVE,Paid Leave,yearly_model1_ai_role_naics3_fe,ok,-0.4216893847087426,0.030165258778115756,2.085111755266513e-44,-0.48081329191384947,-0.36256547750363577,1062166.0,0.035536912410899846,True,
2020,HEALTH_WELLBEING,Health and Wellbeing,yearly_model1_ai_role_naics3_fe,ok,-0.11093628290653952,0.05984867439252023,0.06379454156253407,-0.2282396847158792,0.006367118902800131,1062166.0,0.06490980335098395,True,
2020,PARENTAL_LEAVE,Parental Leave,yearly_model1_ai_role_naics3_fe,ok,0.3999900588375021,0.06024660105351725,3.153609126674194e-11,0.2819067207726083,0.518073396902396,1062166.0,0.0482179937543894,True,
2020,CULTURE,Workplace Culture,yearly_model1_ai_role_naics3_fe,ok,0.7781574631880639,0.02931356949196468,2.8577883071520036e-155,0.7207028669838131,0.8356120593923146,1062166.0,0.07578944835557455,True,
2020,REMOTE_KW,Remote Work,yearly_model1_ai_role_naics3_fe,ok,0.1754384265534548,0.03605787856712355,1.1418673034333657e-06,0.10476498456189264,0.24611186854501693,1062166.0,0.08541429343036389,True,
