panel,model_idx,model_label,benefit,benefit_label,model_status,ai_role_coef,ai_role_se,ai_role_pvalue,nobs,pseudo_r2
Main,0,M1 Baseline (Year+NAICS3),EDU_ASSISTANCE,Tuition Assistance,ok,-0.03275265505825216,0.009953604386722228,0.0009999808066633279,9999673,0.05579944234845846
Main,0,M1 Baseline (Year+NAICS3),PAID LEAVE,Paid Leave,ok,-0.19676250011912477,0.006618694992025942,3.3095235780929914e-194,9999673,0.0629756849591282
Main,0,M1 Baseline (Year+NAICS3),HEALTH_WELLBEING,Health and Wellbeing,ok,0.15383901977961822,0.011488818222964752,6.887788764518755e-41,9999673,0.05095545853484751
Main,0,M1 Baseline (Year+NAICS3),PARENTAL_LEAVE,Parental Leave,ok,0.41106028754158824,0.009768468745944031,0.0,8977505,0.09692335451826506
Main,0,M1 Baseline (Year+NAICS3),CULTURE,Inclusive Workplace,ok,0.6427322544708096,0.0068606398101518015,0.0,9999673,0.07392004952896147
Main,0,M1 Baseline (Year+NAICS3),REMOTE_KW,Remote Work,ok,0.7181366468153516,0.0076053440300515905,0.0,9999673,0.10039481817113605
Main,1,M2 + Individual+State Controls,EDU_ASSISTANCE,Tuition Assistance,ok,-0.034872938168126394,0.010052087949212358,0.0005219653393997341,9999673,0.06756438592670544
Main,1,M2 + Individual+State Controls,PAID LEAVE,Paid Leave,ok,-0.13483224674986521,0.0066832008516271345,1.6301865447253724e-90,9999673,0.06995567777830569
Main,1,M2 + Individual+State Controls,HEALTH_WELLBEING,Health and Wellbeing,ok,0.06412882744013193,0.01159944317387112,3.227732660191579e-08,9999673,0.055456627829112315
Main,1,M2 + Individual+State Controls,PARENTAL_LEAVE,Parental Leave,ok,0.27643927028379733,0.009892195931715125,7.542626516803615e-172,8977505,0.104839517199534
Main,1,M2 + Individual+State Controls,CULTURE,Inclusive Workplace,ok,0.4182916384894429,0.0069781230827769825,0.0,9999673,0.08914759916168635
Main,1,M2 + Individual+State Controls,REMOTE_KW,Remote Work,ok,0.4474179941562143,0.00772886027836944,0.0,9999673,0.12670076776615402
Main,2,M3 + Salary,EDU_ASSISTANCE,Tuition Assistance,ok,-0.10597843003924243,0.015049250188102575,1.8935432742275045e-12,3559853,0.07887603372548124
Main,2,M3 + Salary,PAID LEAVE,Paid Leave,ok,-0.1259093316795124,0.010041786265684851,4.593850320005329e-36,3559853,0.060707440961814796
Main,2,M3 + Salary,HEALTH_WELLBEING,Health and Wellbeing,ok,-0.02142540806448424,0.01683382484129592,0.20310344781525858,3559853,0.08070309584884339
Main,2,M3 + Salary,PARENTAL_LEAVE,Parental Leave,ok,0.12136123111396688,0.013823357447989496,1.6430182876816972e-18,3392004,0.1387604027819841
Main,2,M3 + Salary,CULTURE,Inclusive Workplace,ok,0.29611844938405285,0.011557890859274203,9.027015895333778e-145,3559853,0.10919312005092219
Main,2,M3 + Salary,REMOTE_KW,Remote Work,ok,0.23512232988590706,0.011878018843714816,3.3043338080554023e-87,3559853,0.15539199319226504
Main,3,M4 + S&P 500 (Preferred),EDU_ASSISTANCE,Tuition Assistance,ok,-0.15252026358234572,0.015123156257345201,6.4225239913827775e-24,3559853,0.08269403839111855
Main,3,M4 + S&P 500 (Preferred),PAID LEAVE,Paid Leave,ok,-0.1336481712227879,0.010051929981516064,2.4493141993435315e-40,3559853,0.06080406773325431
Main,3,M4 + S&P 500 (Preferred),HEALTH_WELLBEING,Health and Wellbeing,ok,-0.06997899125165256,0.016942164874355774,3.62032794819915e-05,3559853,0.08410410252531719
Main,3,M4 + S&P 500 (Preferred),PARENTAL_LEAVE,Parental Leave,ok,0.06744092893134374,0.013974329223645509,1.3926168790180688e-06,3392004,0.14499595007519228
Main,3,M4 + S&P 500 (Preferred),CULTURE,Inclusive Workplace,ok,0.24365547465181028,0.011707152136473168,3.3327224185257936e-96,3559853,0.11489295755717321
Main,3,M4 + S&P 500 (Preferred),REMOTE_KW,Remote Work,ok,0.22533938839583229,0.011901689711967953,6.053289158485467e-80,3559853,0.15554325359068077
